はたらきます,1グループ,2グループ,3グループ,special２
やすみます,1グループ,2グループ,3グループ,special２
おわります,1グループ,2グループ,3グループ,special２
いきます,1グループ,2グループ,3グループ,special２
かえります,1グループ,2グループ,3グループ,special２
のみます,1グループ,2グループ,3グループ,special２
すいます,1グループ,2グループ,3グループ,special２
ききます,1グループ,2グループ,3グループ,special２
よみます,1グループ,2グループ,3グループ,special２
かきます,1グループ,2グループ,3グループ,special２
かいます,1グループ,2グループ,3グループ,special２
とります,1グループ,2グループ,3グループ,special２
あいます,1グループ,2グループ,3グループ,special２
きります,1グループ,2グループ,3グループ,special２
おくります,1グループ,2グループ,3グループ,special２
もらいます,1グループ,2グループ,3グループ,special２
かします,1グループ,2グループ,3グループ,special２
ならいます,1グループ,2グループ,3グループ,special２
あそびます,1グループ,2グループ,3グループ,special２
およぎます,1グループ,2グループ,3グループ,special２
けします,1グループ,2グループ,3グループ,special２
いそぎます,1グループ,2グループ,3グループ,special２
まちます,1グループ,2グループ,3グループ,special２
もちます,1グループ,2グループ,3グループ,special２
てつだいます,1グループ,2グループ,3グループ,special２
よびます,1グループ,2グループ,3グループ,special２
はなします,1グループ,2グループ,3グループ,special２
つかいます,1グループ,2グループ,3グループ,special２
すわります,1グループ,2グループ,3グループ,special２
たちます,1グループ,2グループ,3グループ,special２
はいります,1グループ,2グループ,3グループ,special２
ねます,2グループ,1グループ,3グループ,special２
たべます,2グループ,1グループ,3グループ,special２
みます,special２,1グループ,3グループ,2グループ
あげます,2グループ,1グループ,3グループ,special２
かります,special２,1グループ,3グループ,2グループ
おしえます,2グループ,1グループ,3グループ,special２
かけます,2グループ,1グループ,3グループ,special２
います,special２,1グループ,3グループ,2グループ
むかえます,2グループ,1グループ,3グループ,special２
つかれます,2グループ,1グループ,3グループ,special２
つけます,2グループ,1グループ,3グループ,special２
あけます,2グループ,1グループ,3グループ,special２
しめます,2グループ,1グループ,3グループ,special２
とめます,2グループ,1グループ,3グループ,special２
みせます,2グループ,1グループ,3グループ,special２
でます,2グループ,1グループ,3グループ,special２
べんきょうします,3グループ,1グループ,2グループ,special２
します,3グループ,1グループ,2グループ,special２
けっこんします,3グループ,1グループ,2グループ,special２
かいものします,3グループ,1グループ,2グループ,special２
しょくじします,3グループ,1グループ,2グループ,special２
さんぽします,3グループ,1グループ,2グループ,special２
コピーします,3グループ,1グループ,2グループ,special２