あ,a,o,me,no
い,i,ri,ko,shi
う,u,tsu,te,chi
え,e,ke,su,mi
お,o,me,a,no
か,ka,fu,mu,o
き,ki,sa,ho,ma
く,ku,tu,shi,u
け,ke,ha,ho,ri
こ,ko,i,ri,te
さ,sa,chi,ki,u
し,shi,ku,u,tsu
す,su,so,sa,se
せ,se,wo,ya,ho
そ,so,chi,ta,te
た,ta,na,ha,ho
ち,chi,sa,tsu,ki
つ,tsu,si,te,ku
て,te,ku,tsu,chi
と,to,te,ko,ku
な,na,ho,ha,ta
に,ni,ha,ne,na
ぬ,nu,ne,me,na
ね,ne,re,mu,wa
の,no,me,ka,hi
は,ha,ho,na,ke
ひ,hi,ru,shi,he
ふ,fu,na,su,mi
へ,he,te,si,tsu
ほ,ho,ha,na,ma
ま,ma,ho,ki,ya
み,mi,ya,na,su
む,mu,na,su,mi
め,me,nu,no,o
も,mo,ma,ho,ki
や,ya,mi,ka,ra
ゆ,yu,no,nu,ne
よ,yo,ma,tsu,ha
ら,ra,chi,sa,tsu
り,ri,i,ke,ko
る,ru,ne,no,na
れ,re,wa,ne,ya
ろ,ro,ru,tsu,te
わ,wa,re,ne,ya
を,wo,n,ho,ma
ん,n,a,i,u