kya,キャ,ポ,ペ,プ
kyu,キュ,キャ,ポ,ペ
kyo,キョ,キュ,キャ,ポ
sya,シャ,キョ,キュ,キャ
syu,シュ,シャ,キョ,キュ
syo,ショ,シュ,シャ,キョ
tya,チャ,ショ,シュ,シャ
tyu,チュ,チャ,ショ,シュ
tyo,チョ,チュ,チャ,ショ
nya,ニャ,チョ,チュ,チャ
nyu,ニュ,ニャ,チョ,チュ
nyo,ニョ,ニュ,ニャ,チョ
hya,ヒャ,ニョ,ニュ,ニャ
hyu,ヒュ,ヒャ,ニョ,ニュ
hyo,ヒョ,ヒュ,ヒャ,ニョ
mya,ミャ,ヒョ,ヒュ,ヒャ
myu,ミュ,ミャ,ヒョ,ヒュ
myo,ミョ,ミュ,ミャ,ヒョ
rya,リャ,ミョ,ミュ,ミャ
ryu,リュ,リャ,ミョ,ミュ
ryo,リョ,リュ,リャ,ミョ
gya,ギャ,リョ,リュ,リャ
gyu,ギュ,ギャ,リョ,リュ
gyo,ギョ,ギュ,ギャ,リョ
zya,ジャ,ギョ,ギュ,ギャ
zyu,ジュ,ジャ,ギョ,ギュ
zyo,ジョ,ジュ,ジャ,ギョ
zya,ヂャ,ジョ,ジュ,ギャ
zyu,ヂュ,ヂャ,ジョ,ギュ
zyo,ヂョ,ヂュ,ヂャ,ギョ
bya,ビャ,ヂョ,ヂュ,ヂャ
byu,ビュ,ビャ,ヂョ,ヂュ
byo,ビョ,ビュ,ビャ,ヂョ
pya,ピャ,ビョ,ビュ,ビャ
pyu,ピュ,ピャ,ビョ,ビュ
pyo,ピョ,ピュ,ピャ,ビョ
ga,ガ,ピョ,ピュ,ピャ
gi,ギ,ガ,ピョ,ピュ
gu,グ,ギ,ガ,ピョ
ge,ゲ,グ,ギ,ガ
go,ゴ,ゲ,グ,ギ
za,ザ,ゴ,ゲ,グ
zi,ジ,ザ,ゴ,ゲ
zu,ズ,ジ,ザ,ゴ
ze,ゼ,ズ,ジ,ザ
zo,ゾ,ゼ,ズ,ジ
da,ダ,ゾ,ゼ,ズ
zi,ヂ,ダ,ゾ,ゼ
zu,ヅ,ヂ,ダ,ゾ
de,デ,ヅ,ヂ,ダ
do,ド,デ,ヅ,ヂ
ba,バ,ド,デ,ヅ
bi,ビ,バ,ド,デ
bu,ブ,ビ,バ,ド
be,ベ,ブ,ビ,バ
bo,ボ,ベ,ブ,ビ
pa,パ,ボ,ベ,ブ
pi,ピ,パ,ボ,ベ
pu,プ,ピ,パ,ボ
pe,ペ,プ,ピ,パ
po,ポ,ペ,プ,ピ